freq,unit,age,sex,geo\TIME_PERIOD	2007 	2008 	2009 	2010 	2011 	2012 
A,NR,Y1,T,EU27_2007	5111863 	5192085 	5249353 	5374996 	5316177 b	5299636 
A,NR,Y10,T,EU27_2007	5284301 	5244092 	5201009 	5190315 	5243749 b	5131755 
A,NR,Y11,T,EU27_2007	5301144 	5301328 	5260057 	5220910 	5204073 b	5263887 
A,NR,Y12,T,EU27_2007	5433474 	5330080 	5310943 	5276419 	5231443 b	5215147 
A,NR,Y13,T,EU27_2007	5574877 	5420935 	5318182 	5322645 	5286430 b	5242553 
A,NR,Y14,T,EU27_2007	5762443 	5559170 	5401775 	5323013 	5325353 b	5297366 
A,NR,Y15,T,EU27_2007	5899364 	5747378 	5547568 	5423509 	5336300 b	5342117 
A,NR,Y16,T,EU27_2007	6033933 	5880601 	5742142 	5580054 	5444844 b	5357333 
A,NR,Y17,T,EU27_2007	6021528 	6039352 	5891735 	5778042 	5601907 b	5469890 
A,NR,Y18,T,EU27_2007	6093947 	6016960 	6040806 	5911989 	5775109 b	5609759 
A,NR,Y19,T,EU27_2007	6071982 	6130951 	6048851 	6079489 	5925554 b	5803611 
A,NR,Y2,T,EU27_2007	5105733 	5133575 	5213529 	5280588 	5385111 b	5331664 
A,NR,Y20,T,EU27_2007	6165038 	6113790 	6151206 	6070190 	6085944 b	5955100 
A,NR,Y21,T,EU27_2007	6264891 	6223137 	6162719 	6207046 	6107094 b	6141313 
A,NR,Y22,T,EU27_2007	6336408 	6321999 	6264772 	6197303 	6228440 b	6164158 
A,NR,Y23,T,EU27_2007	6406908 	6397326 	6363283 	6284183 	6212404 b	6271622 
A,NR,Y24,T,EU27_2007	6573795 	6464201 	6432839 	6361212 	6288167 b	6248284 
A,NR,Y25,T,EU27_2007	6630267 	6610864 	6474611 	6406398 	6338448 b	6306791 
A,NR,Y26,T,EU27_2007	6773033 	6672743 	6633889 	6468692 	6405035 b	6351562 
A,NR,Y27,T,EU27_2007	6732497 	6805414 	6675339 	6614260 	6445834 b	6411829 
A,NR,Y28,T,EU27_2007	6718222 	6746935 	6807521 	6664301 	6601317 b	6458047 
A,NR,Y29,T,EU27_2007	6768651 	6770361 	6787326 	6832089 	6680722 b	6638076 
A,NR,Y3,T,EU27_2007	5058691 	5118457 	5148575 	5232586 	5286789 b	5394254 
A,NR,Y30,T,EU27_2007	6852378 	6818254 	6812199 	6814035 	6836763 b	6714273 
A,NR,Y31,T,EU27_2007	6930626 	6900245 	6851678 	6828337 	6812092 b	6859573 
A,NR,Y32,T,EU27_2007	7049646 	6965569 	6919643 	6863754 	6820771 b	6828007 
A,NR,Y33,T,EU27_2007	7062473 	7085606 	6978098 	6925503 	6851859 b	6834470 
A,NR,Y34,T,EU27_2007	7261523 	7086981 	7089404 	6986299 	6914536 b	6870286 
A,NR,Y35,T,EU27_2007	7254551 	7182973 	7063998 	7089425 	6962068 b	6919645 
A,NR,Y36,T,EU27_2007	7284669 	7312443 	7233644 	7069016 	7072950 b	6971711 
A,NR,Y37,T,EU27_2007	7381230 	7343939 	7361198 	7234403 	7052042 b	7086422 
A,NR,Y38,T,EU27_2007	7431507 	7415130 	7360328 	7333040 	7176651 b	7033032 
A,NR,Y39,T,EU27_2007	7481398 	7477134 	7454691 	7364898 	7309466 b	7186004 
A,NR,Y4,T,EU27_2007	5037428 	5070393 	5126301 	5160446 	5237756 b	5298156 
A,NR,Y40,T,EU27_2007	7546624 	7528988 	7514798 	7457276 	7326332 b	7312240 
A,NR,Y41,T,EU27_2007	7591785 	7590863 	7571080 	7525143 	7429386 b	7334616 
A,NR,Y42,T,EU27_2007	7693679 	7633521 	7633399 	7585858 	7502369 b	7440175 
A,NR,Y43,T,EU27_2007	7578295 	7756602 	7703781 	7665400 	7585994 b	7521529 
A,NR,Y44,T,EU27_2007	7392111 	7580899 	7737138 	7633838 	7568088 b	7565890 
A,NR,Y45,T,EU27_2007	7306798 	7326290 	7472355 	7606398 	7475357 b	7439155 
A,NR,Y46,T,EU27_2007	7244535 	7278031 	7297575 	7463165 	7574529 b	7463367 
A,NR,Y47,T,EU27_2007	7142278 	7210776 	7242329 	7284986 	7425367 b	7559231 
A,NR,Y48,T,EU27_2007	6992260 	7093931 	7169431 	7228323 	7246723 b	7411381 
A,NR,Y49,T,EU27_2007	6944658 	6973426 	7074542 	7160425 	7200165 b	7233861 
A,NR,Y5,T,EU27_2007	5067592 	5051026 	5084778 	5138800 	5165227 b	5253675 
A,NR,Y50,T,EU27_2007	6841737 	6917518 	6951019 	7068499 	7126847 b	7188650 
A,NR,Y51,T,EU27_2007	6751480 	6824286 	6898109 	6941578 	7041312 b	7114137 
A,NR,Y52,T,EU27_2007	6642789 	6731774 	6807378 	6893196 	6914032 b	7028900 
A,NR,Y53,T,EU27_2007	6493709 	6605518 	6710953 	6788533 	6855576 b	6895544 
A,NR,Y54,T,EU27_2007	6457146 	6471057 	6598087 	6693501 	6750458 b	6837626 
A,NR,Y55,T,EU27_2007	6336918 	6452612 	6470695 	6574103 	6651699 b	6729361 
A,NR,Y56,T,EU27_2007	6386499 	6320653 	6455865 	6452838 	6537682 b	6630338 
A,NR,Y57,T,EU27_2007	6327557 	6370961 	6293487 	6390608 	6372118 b	6484464 
A,NR,Y58,T,EU27_2007	6312221 	6308034 	6354582 	6255144 	6332664 b	6329183 
A,NR,Y59,T,EU27_2007	6173076 	6289171 	6287092 	6305823 	6194345 b	6287103 
A,NR,Y6,T,EU27_2007	5177280 	5087951 	5066512 	5093132 	5141624 b	5179657 
A,NR,Y60,T,EU27_2007	5854264 	6157463 	6269710 	6241406 	6240625 b	6149041 
A,NR,Y61,T,EU27_2007	5017822 	5830006 	6133821 	6229541 	6185957 b	6192487 
A,NR,Y62,T,EU27_2007	5219365 	5001037 	5801100 	6082649 	6161018 b	6135725 
A,NR,Y63,T,EU27_2007	5103474 	5149692 	4919958 	5704927 	5970438 b	6063539 
A,NR,Y64,T,EU27_2007	4835021 	5039026 	5085018 	4854529 	5629058 b	5898645 
A,NR,Y65,T,EU27_2007	4883964 	4777707 	4981338 	5030167 	4790131 b	5567374 
A,NR,Y66,T,EU27_2007	5078317 	4787174 	4678826 	4887113 	4926362 b	4699010 
A,NR,Y67,T,EU27_2007	4911525 	5011595 	4734590 	4640022 	4837747 b	4886102 
A,NR,Y68,T,EU27_2007	4752741 	4816068 	4913190 	4643167 	4538781 b	4750906 
A,NR,Y69,T,EU27_2007	4595007 	4676560 	4740572 	4846249 	4571435 b	4474941 
A,NR,Y7,T,EU27_2007	5143434 	5195935 	5096416 	5069028 	5088952 b	5146973 
A,NR,Y70,T,EU27_2007	4516323 	4504975 	4594672 	4661660 	4757152 b	4499112 
A,NR,Y71,T,EU27_2007	4393027 	4432734 	4429898 	4523010 	4579824 b	4675921 
A,NR,Y72,T,EU27_2007	4227648 	4300195 	4349297 	4348816 	4432235 b	4490360 
A,NR,Y73,T,EU27_2007	3961341 	4131006 	4206043 	4244450 	4243470 b	4330686 
A,NR,Y74,T,EU27_2007	3906337 	3856862 	4031163 	4097560 	4126391 b	4137915 
A,NR,Y75,T,EU27_2007	3789094 	3795558 	3752946 	3915785 	3976042 b	4012592 
A,NR,Y76,T,EU27_2007	3758682 	3664004 	3675534 	3626040 	3779078 b	3844527 
A,NR,Y77,T,EU27_2007	3461826 	3624013 	3537692 	3542511 	3492085 b	3646147 
A,NR,Y78,T,EU27_2007	3300654 	3320767 	3482098 	3393168 	3394242 b	3352137 
A,NR,Y79,T,EU27_2007	3048956 	3159543 	3186693 	3333164 	3246526 b	3259300 
A,NR,Y8,T,EU27_2007	5169685 	5162588 	5214118 	5113698 	5074206 b	5101559 
A,NR,Y80,T,EU27_2007	2882355 	2896389 	3002323 	3021914 	3157360 b	3081560 
A,NR,Y81,T,EU27_2007	2683589 	2720602 	2739251 	2830299 	2848059 b	2983746 
A,NR,Y82,T,EU27_2007	2425979 	2518804 	2556458 	2564325 	2646954 b	2673257 
A,NR,Y83,T,EU27_2007	2208234 	2251481 	2347009 	2374107 	2379606 b	2467648 
A,NR,Y84,T,EU27_2007	2018805 	2041911 	2085167 	2158193 	2181821 b	2195317 
A,NR,Y9,T,EU27_2007	5221797 	5184943 	5172963 	5226445 	5117724 b	5081689 
A,NR,Y_LT1,T,EU27_2007	5162683 	5218497 	5337295 	5289421 	5276295 b	5149914 
