freq,unit,age,sex,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 
A,NR,Y1,T,EU28	5229902 	5195148 b	5089377 b	5137874 	5116605 b	5136614 	5073601 ep
A,NR,Y10,T,EU28	5134961 	5183917 b	5248963 b	5306888 	5401234 b	5464836 	5592160 ep
A,NR,Y11,T,EU28	5187235 	5163079 b	5200453 b	5271365 	5324422 b	5415747 	5479943 ep
A,NR,Y12,T,EU28	5320649 	5216329 b	5178466 b	5225083 	5289291 b	5338398 	5431031 ep
A,NR,Y13,T,EU28	5273348 	5349151 b	5233320 b	5202559 	5243689 b	5303679 	5353998 ep
A,NR,Y14,T,EU28	5304552 	5301718 b	5367489 b	5260385 	5224518 b	5260276 	5320946 ep
A,NR,Y15,T,EU28	5361585 	5335207 b	5323006 b	5399642 	5287371 b	5242923 	5279486 ep
A,NR,Y16,T,EU28	5408043 	5391423 b	5357277 b	5365282 	5431605 b	5308031 	5264605 ep
A,NR,Y17,T,EU28	5419470 	5436810 b	5412378 b	5398829 	5395387 b	5450667 	5327547 ep
A,NR,Y18,T,EU28	5537980 	5455917 b	5470739 b	5471761 	5439270 b	5427647 	5486437 ep
A,NR,Y19,T,EU28	5689848 	5585452 b	5502451 b	5543247 	5522482 b	5486399 	5483127 ep
A,NR,Y2,T,EU28	5360721 	5260664 b	5221656 b	5120643 	5176528 b	5145958 	5174653 ep
A,NR,Y20,T,EU28	5881078 	5734193 b	5632388 b	5576061 	5589245 b	5565303 	5540889 ep
A,NR,Y21,T,EU28	6035446 	5921110 b	5773776 b	5693754 	5613373 b	5628392 	5612199 ep
A,NR,Y22,T,EU28	6222429 	6075989 b	5961332 b	5837095 	5728243 b	5650782 	5673147 ep
A,NR,Y23,T,EU28	6246139 	6267759 b	6118050 b	6024987 	5874281 b	5768267 	5699883 ep
A,NR,Y24,T,EU28	6353607 	6288882 b	6308716 b	6178224 	6056282 b	5911547 	5815390 ep
A,NR,Y25,T,EU28	6326969 	6396096 b	6326942 b	6368141 	6210338 b	6094323 	5956615 ep
A,NR,Y26,T,EU28	6383687 	6364636 b	6430780 b	6380412 	6397414 b	6244396 	6137936 ep
A,NR,Y27,T,EU28	6428957 	6419898 b	6401683 b	6486809 	6412954 b	6433446 	6287796 ep
A,NR,Y28,T,EU28	6488278 	6463712 b	6450939 b	6448311 	6516741 b	6447960 	6476266 ep
A,NR,Y29,T,EU28	6533643 	6521518 b	6495308 b	6496717 	6476054 b	6550663 	6490005 ep
A,NR,Y3,T,EU28	5395192 	5395075 b	5285109 b	5260560 	5153801 b	5206739 	5178543 ep
A,NR,Y30,T,EU28	6710781 	6564561 b	6549775 b	6542792 	6522336 b	6505839 	6590752 ep
A,NR,Y31,T,EU28	6786831 	6738905 b	6586559 b	6585748 	6565921 b	6549063 	6543512 ep
A,NR,Y32,T,EU28	6930946 	6811711 b	6757782 b	6619413 	6604542 b	6590458 	6582804 ep
A,NR,Y33,T,EU28	6896645 	6955219 b	6825855 b	6785837 	6635222 b	6625379 	6621451 ep
A,NR,Y34,T,EU28	6901945 	6920074 b	6967773 b	6849196 	6797512 b	6653562 	6653770 ep
A,NR,Y35,T,EU28	6934027 	6922145 b	6930544 b	6992148 	6861629 b	6814926 	6677894 ep
A,NR,Y36,T,EU28	6984984 	6956493 b	6931709 b	6953604 	7003349 b	6876465 	6837033 ep
A,NR,Y37,T,EU28	7035121 	7004109 b	6963107 b	6948982 	6960342 b	7016337 	6896767 ep
A,NR,Y38,T,EU28	7147157 	7056603 b	7009884 b	6977520 	6952355 b	6969146 	7031437 ep
A,NR,Y39,T,EU28	7093911 	7165949 b	7058942 b	7018498 	6977820 b	6957853 	6980850 ep
A,NR,Y4,T,EU28	5456404 	5428261 b	5418620 b	5320349 	5293313 b	5189833 	5236441 ep
A,NR,Y40,T,EU28	7245238 	7113342 b	7166752 b	7070466 	7019564 b	6982419 	6969785 ep
A,NR,Y41,T,EU28	7370614 	7261393 b	7112031 b	7172159 	7070146 b	7023296 	6991955 ep
A,NR,Y42,T,EU28	7385149 	7384249 b	7256963 b	7113594 	7168608 b	7069004 	7027832 ep
A,NR,Y43,T,EU28	7493382 	7400664 b	7379783 b	7258107 	7108998 b	7167746 	7073268 ep
A,NR,Y44,T,EU28	7575228 	7508348 b	7394056 b	7379744 	7252059 b	7106887 	7170080 ep
A,NR,Y45,T,EU28	7615877 	7588071 b	7501570 b	7392205 	7373007 b	7245854 	7105636 ep
A,NR,Y46,T,EU28	7491941 	7628307 b	7577846 b	7498225 	7380733 b	7364572 	7242690 ep
A,NR,Y47,T,EU28	7514492 	7501166 b	7619526 b	7570874 	7485482 b	7370955 	7358685 ep
A,NR,Y48,T,EU28	7606229 	7521769 b	7490134 b	7609263 	7554535 b	7472588 	7361575 ep
A,NR,Y49,T,EU28	7457881 	7612676 b	7507748 b	7479257 	7591956 b	7539318 	7460897 ep
A,NR,Y5,T,EU28	5357026 	5491669 b	5451011 b	5456306 	5346475 b	5318323 	5214787 ep
A,NR,Y50,T,EU28	7277924 	7459194 b	7593864 b	7494957 	7460047 b	7575597 	7525108 ep
A,NR,Y51,T,EU28	7232685 	7274638 b	7438335 b	7574305 	7471957 b	7440158 	7558414 ep
A,NR,Y52,T,EU28	7155300 	7227832 b	7251817 b	7416238 	7550648 b	7449816 	7420436 ep
A,NR,Y53,T,EU28	7067437 	7147676 b	7201126 b	7228768 	7389398 b	7524672 	7426770 ep
A,NR,Y54,T,EU28	6931761 	7055343 b	7118795 b	7174499 	7198801 b	7362141 	7499062 ep
A,NR,Y55,T,EU28	6869579 	6915919 b	7022821 b	7088557 	7141845 b	7168788 	7333018 ep
A,NR,Y56,T,EU28	6761465 	6849191 b	6880004 b	6989049 	7053329 b	7108475 	7137266 ep
A,NR,Y57,T,EU28	6657052 	6737595 b	6810476 b	6847022 	6951505 b	7017865 	7073384 ep
A,NR,Y58,T,EU28	6510223 	6629426 b	6697286 b	6770487 	6806068 b	6912387 	6979179 ep
A,NR,Y59,T,EU28	6348912 	6478056 b	6585995 b	6654386 	6725498 b	6763490 	6869779 ep
A,NR,Y6,T,EU28	5309874 	5385513 b	5508690 b	5479606 	5478427 b	5365431 	5339285 ep
A,NR,Y60,T,EU28	6301318 	6313067 b	6431197 b	6540093 	6605355 b	6677840 	6717416 ep
A,NR,Y61,T,EU28	6156010 	6261043 b	6263704 b	6380526 	6488970 b	6554241 	6628543 ep
A,NR,Y62,T,EU28	6196104 	6113322 b	6206893 b	6211155 	6326478 b	6433763 	6500406 ep
A,NR,Y63,T,EU28	6136705 	6148694 b	6056111 b	6149964 	6152996 b	6268409 	6375467 ep
A,NR,Y64,T,EU28	6055872 	6085607 b	6088533 b	5997125 	6089520 b	6092882 	6208071 ep
A,NR,Y65,T,EU28	5887856 	6000728 b	6022286 b	6022885 	5931363 b	6025339 	6027277 ep
A,NR,Y66,T,EU28	5549680 	5830692 b	5931564 b	5951522 	5950243 b	5861753 	5953574 ep
A,NR,Y67,T,EU28	4673977 	5491065 b	5759075 b	5858358 	5876102 b	5876347 	5787214 ep
A,NR,Y68,T,EU28	4856414 	4615874 b	5415251 b	5680935 	5779261 b	5796302 	5794724 ep
A,NR,Y69,T,EU28	4720706 	4790092 b	4548538 b	5334491 	5597524 b	5694356 	5710307 ep
A,NR,Y7,T,EU28	5236157 	5339273 b	5402919 b	5537559 	5501617 b	5496119 	5383974 ep
A,NR,Y70,T,EU28	4446598 	4651109 b	4712863 b	4474048 	5248464 b	5508386 	5604080 ep
A,NR,Y71,T,EU28	4458880 	4373283 b	4569565 b	4629502 	4395454 b	5155716 	5413530 ep
A,NR,Y72,T,EU28	4626512 	4378102 b	4290467 b	4481108 	4541424 b	4312231 	5058720 ep
A,NR,Y73,T,EU28	4435212 	4534080 b	4286468 b	4198771 	4386898 b	4445196 	4222713 ep
A,NR,Y74,T,EU28	4268070 	4338264 b	4430789 b	4186071 	4103097 b	4288115 	4344701 ep
A,NR,Y75,T,EU28	4068398 	4164173 b	4228555 b	4316477 	4081031 b	4001763 	4181448 ep
A,NR,Y76,T,EU28	3933310 	3956495 b	4047464 b	4109880 	4196211 b	3968954 	3891747 ep
A,NR,Y77,T,EU28	3754080 	3812756 b	3832194 b	3919303 	3984657 b	4069729 	3846383 ep
A,NR,Y78,T,EU28	3546881 	3624826 b	3680458 b	3697100 	3784931 b	3849762 	3931880 ep
A,NR,Y79,T,EU28	3245912 	3408975 b	3482596 b	3535204 	3556219 b	3640445 	3703591 ep
A,NR,Y8,T,EU28	5202332 	5265032 b	5357694 b	5430554 	5560389 b	5518381 	5514264 ep
A,NR,Y80,T,EU28	3136689 	3101948 b	3258014 b	3324816 	3385474 b	3405105 	3485406 ep
A,NR,Y81,T,EU28	2947208 	2981080 b	2948541 b	3092674 	3164857 b	3221571 	3241976 ep
A,NR,Y82,T,EU28	2831894 	2781392 b	2814685 b	2779855 	2925817 b	2992781 	3048788 ep
A,NR,Y83,T,EU28	2516241 	2652104 b	2606647 b	2633415 	2610297 b	2744696 	2811347 ep
A,NR,Y84,T,EU28	2300223 	2334760 b	2466323 b	2416975 	2452810 b	2431485 	2557378 ep
A,NR,Y85,T,EU28	: 	2114609 b	2148854 b	2264839 	2229004 b	2257397 	2243270 ep
A,NR,Y86,T,EU28	: 	1839479 b	1925457 b	1949437 	2066959 b	2032562 	2060005 ep
A,NR,Y87,T,EU28	: 	1636354 b	1655167 b	1725268 	1757248 b	1859793 	1831848 ep
A,NR,Y88,T,EU28	: 	1421290 b	1452823 b	1462186 	1534829 b	1558765 	1655286 ep
A,NR,Y89,T,EU28	: 	1188553 b	1244016 b	1263071 	1282214 b	1339160 	1362763 ep
A,NR,Y9,T,EU28	5155454 	5232459 b	5281823 b	5382392 	5449873 b	5576093 	5535289 ep
A,NR,Y90,T,EU28	: 	1002238 b	1026486 b	1063581 	1091448 b	1099598 	1151250 ep
A,NR,Y91,T,EU28	: 	826694 b	846450 b	860095 	901527 b	917642 	929597 ep
A,NR,Y92,T,EU28	: 	670841 b	685376 b	695069 	715420 b	743302 	762145 ep
A,NR,Y93,T,EU28	: 	515607 b	545036 b	549641 	566066 b	577039 	603123 ep
A,NR,Y94,T,EU28	: 	304710 b	409433 b	428435 	438021 b	445755 	457980 ep
A,NR,Y95,T,EU28	: 	185278 b	237542 b	312364 	335054 b	336418 	344544 ep
A,NR,Y96,T,EU28	: 	135714 b	140933 b	178251 	237831 b	251406 	253098 ep
A,NR,Y97,T,EU28	: 	102547 b	100681 b	102438 	133503 b	174033 	185622 ep
A,NR,Y98,T,EU28	: 	82304 b	73722 b	71294 	74681 b	95699 	126747 ep
A,NR,Y99,T,EU28	: 	67292 b	57805 b	50689 	50919 b	52898 	67636 ep
A,NR,Y_LT1,T,EU28	5138705 	5030115 b	5069686 b	5052567 	5090431 b	5032461 	4918845 ep
