accession_number,strain,year,month,day,country
>EU605947,B/Tumbes/FLU9987/2008,2008,,,Peru
>KF041942,B/Acre/117700/2012,2012,02,09,Brazil
>KF041943,B/Acre/117701/2012,2012,02,07,Brazil
>KF041975,B/Acre/121609/2012,2012,10,06,Brazil
>KF041976,B/Acre/121891/2013,2013,01,16,Brazil
>KF041977,B/Acre/121895/2012,2012,12,19,Brazil
>KF041986,B/Acre/122712/2013,2013,03,10,Brazil
>KF041987,B/Acre/122741/2013,2013,03,19,Brazil
>KF041988,B/Acre/122742/2013,2013,03,19,Brazil
>KF041989,B/Acre/122743/2013,2013,03,19,Brazil
>KF041990,B/Acre/122744/2013,2013,03,19,Brazil
>KP067693,B/Acre/128560-IEC/2014,2014,02,12,Brazil
>KP067692,B/Acre/128677-IEC/2014,2014,02,25,Brazil
>KP067691,B/Acre/128794-IEC/2014,2014,02,27,Brazil
>KP067690,B/Acre/129050-IEC/2014,2014,03,03,Brazil
>KP067689,B/Acre/129054-IEC/2014,2014,03,19,Brazil
>KP067688,B/Acre/129058-IEC/2014,2014,03,13,Brazil
>KP067687,B/Acre/129223-IEC/2014,2014,03,26,Brazil
>KP067686,B/Acre/129369-IEC/2014,2014,04,06,Brazil
>KP067685,B/Acre/129748-IEC/2014,2014,04,11,Brazil
>KP067684,B/Acre/129911-IEC/2014,2014,05,06,Brazil
>KP067683,B/Acre/129912-IEC/2014,2014,05,08,Brazil
>KP067682,B/Acre/129914-IEC/2014,2014,05,08,Brazil
>KP067681,B/Acre/129920-IEC/2014,2014,04,07,Brazil
>KP067680,B/Acre/129921-IEC/2014,2014,04,08,Brazil
>KP067679,B/Acre/129924-IEC/2014,2014,04,23,Brazil
>KP067678,B/Acre/130095-IEC/2014,2014,04,24,Brazil
>KP067677,B/Acre/130266-IEC/2014,2014,05,09,Brazil
>KP067676,B/Acre/130267-IEC/2014,2014,05,12,Brazil
>KP067675,B/Acre/130269-IEC/2014,2014,05,06,Brazil
>KP067674,B/Acre/130428-IEC/2014,2014,05,16,Brazil
>KP067673,B/Acre/130431-IEC/2014,2014,05,14,Brazil
>KP067672,B/Acre/130437-IEC/2014,2014,05,26,Brazil
>KP067671,B/Acre/130605-IEC/2014,2014,05,27,Brazil
>KP067670,B/Acre/130607-IEC/2014,2014,05,28,Brazil
>KP067669,B/Acre/130608-IEC/2014,2014,05,30,Brazil
>KP067668,B/Acre/130610-IEC/2014,2014,06,04,Brazil
>KP067667,B/Acre/130741-IEC/2014,2014,06,09,Brazil
>AB027495,B/Aichi/1/84,1984,,,Japan
>AB027396,B/Aichi/1/91,1991,,,Japan
>AB027408,B/Aichi/1/93,1993,,,Japan
>AB027397,B/Aichi/1/94,1994,,,Japan
>AB027398,B/Aichi/10/95,1995,,,Japan
>AB027400,B/Aichi/14/97,1997,,,Japan
>AB027401,B/Aichi/15/97,1997,,,Japan
>KP460854,B/Aichi/16/2009,2009,03,25,Japan
>KP459867,B/Aichi/17/2010,2010,05,25,Japan
>AB243874,B/Aichi/186/2005,2005,,,Japan
>AB027406,B/Aichi/20/99,1999,,,Japan
>AB027393,B/Aichi/21/82,1982,,,Japan
>KP459582,B/Aichi/23/2010,2010,11,18,Japan
>KP459590,B/Aichi/3/2008,2008,03,06,Japan
>KP461373,B/Aichi/3/2010,2010,03,16,Japan
>AB027403,B/Aichi/3/98,1998,,,Japan
>AB027402,B/Aichi/33/97,1997,,,Japan
>KP460592,B/Aichi/4/2010,2010,03,05,Japan
>AB027399,B/Aichi/4/97,1997,,,Japan
>AB027407,B/Aichi/4181/82,1982,,,Japan
>KP461330,B/Aichi/5/2008,2008,03,16,Japan
>AB027395,B/Aichi/5/90,1990,,,Japan
>AB027404,B/Aichi/5/98,1998,,,Japan
>AB027390,B/Aichi/7/76,1976,,,Japan
>AB027392,B/Aichi/70/81,1981,,,Japan
>AB027405,B/Aichi/8/98,1998,,,Japan
>KP461078,B/Akita/1/2010,2010,04,07,Japan
>KP460774,B/Akita/2/2008,2008,11,25,Japan
>KP460224,B/Akita/27/2001,2001,,,Japan
>AB158792,B/Akita/27/2001,2001,,,Japan
>AB158793,B/Akita/27/2001,2001,,,Japan
>AB158794,B/Akita/27/2001,2001,,,Japan
>AB158795,B/Akita/27/2001,2001,,,Japan
>AB158796,B/Akita/27/2001,2001,,,Japan
>CY018677,B/Akita/27/2001,2001,,,Japan
>AB158797,B/Akita/5/2001,2001,,,Japan
>AB158798,B/Akita/5/2001,2001,,,Japan
>KP460706,B/Akita/5/2001,2001,,,Japan
>KC813738,B/Alabama/01/2010,2010,09,14,USA
>KC813928,B/Alabama/01/2011,2011,02,28,USA
>KC891793,B/Alabama/01/2012,2012,02,22,USA
>KF216761,B/Alabama/01/2013,2013,01,09,USA
>KT854746,B/Alabama/01/2015,2015,02,19,USA
>KX615830,B/Alabama/01/2016,2016,02,24,USA
>CY218621,B/Alabama/01/2017,2017,01,17,USA
>MH130394,B/Alabama/01/2018,2018,01,15,USA
>JN992830,B/Alabama/02/2010,2010,11,01,USA
>KC813954,B/Alabama/02/2011,2011,04,04,USA
>KF216588,B/Alabama/02/2012,2012,09,25,USA
>KJ136164,B/Alabama/02/2013,2013,05,22,USA
>KT853495,B/Alabama/02/2014,2014,10,04,USA
>CY221366,B/Alabama/02/2017,2017,01,31,USA
>CY222245,B/Alabama/02/2017,2017,01,31,USA
>CY231336,B/Alabama/02/2017,2017,01,31,USA
>CY238731,B/Alabama/02/2017,2017,01,31,USA
>MH135885,B/Alabama/02/2018,2018,01,22,USA
>JN992881,B/Alabama/03/2010,2010,11,01,USA
>JN992884,B/Alabama/03/2010,2010,11,01,USA
>KT853177,B/Alabama/03/2014,2014,11,09,USA
>KT854980,B/Alabama/03/2015,2015,03,09,USA
>CY236446,B/Alabama/03/2016,2016,12,13,USA
>CY212170,B/Alabama/03/2016,2016,12,13,USA
>CY224518,B/Alabama/03/2017,2017,02,20,USA
>MH135893,B/Alabama/03/2018,2018,02,06,USA
>EU100732,B/Alabama/04/2006,2006,09,19,USA
>KT853224,B/Alabama/04/2014,2014,12,11,USA
>KT854226,B/Alabama/04/2015,2015,03,09,USA
>CY224526,B/Alabama/04/2017,2017,02,22,USA
>MH135901,B/Alabama/04/2018,2018,02,06,USA
>KF216518,B/Alabama/05/2012,2012,12,05,USA
>KX002588,B/Alabama/05/2014,2014,12,05,USA
>CY224534,B/Alabama/05/2017,2017,02,22,USA
>MH583080,B/Alabama/05/2018,2018,02,12,USA
>KX002843,B/Alabama/06/2014,2014,12,29,USA
>CY231914,B/Alabama/06/2017,2017,02,24,USA
>MH583088,B/Alabama/06/2018,2018,02,13,USA
>CY240189,B/Alabama/07/2017,2017,05,13,USA
>MH245246,B/Alabama/07/2018,2018,02,20,USA
>JN992887,B/Alabama/08/2010,2010,11,05,USA
>CY239058,B/Alabama/08/2017,2017,06,03,USA
>JN992890,B/Alabama/09/2010,2010,12,28,USA
>CY250219,B/Alabama/09/2017,2017,09,07,USA
>CY256573,B/Alabama/09/2017,2017,09,07,USA
>MH245254,B/Alabama/09/2018,2018,02,26,USA
>CY015421,B/Alabama/1/2006,2006,03,29,USA
>CY250211,B/Alabama/10/2017,2017,09,08,USA
>CY256565,B/Alabama/10/2017,2017,09,08,USA
>EU100475,B/Alabama/11/2006,2006,10,29,USA
>CY250195,B/Alabama/11/2017,2017,09,13,USA
>CY256549,B/Alabama/11/2017,2017,09,13,USA
>MK077148,B/Alabama/11/2018,2018,08,09,USA
>CY250203,B/Alabama/12/2017,2017,09,13,USA
>CY256557,B/Alabama/12/2017,2017,09,13,USA
>CY263533,B/Alabama/13/2017,2017,11,28,USA
>CY263525,B/Alabama/14/2017,2017,11,30,USA
>MH080652,B/Alabama/14/2017,2017,11,30,USA
>CY263541,B/Alabama/15/2017,2017,12,05,USA
>MH080660,B/Alabama/15/2017,2017,12,05,USA
>CY263549,B/Alabama/16/2017,2017,12,06,USA
>MH080668,B/Alabama/16/2017,2017,12,06,USA
>MH080673,B/Alabama/17/2017,2017,11,28,USA
>MH080681,B/Alabama/18/2017,2017,11,30,USA
>CY015353,B/Alabama/2/2005,2005,02,04,USA
>EU100600,B/Alabama/2/2006,2006,,,USA
>CY120795,B/Alabama/2910/2012,2012,04,06,USA
>CY134620,B/Alabama/3064/2012,2012,12,05,USA
>CY134630,B/Alabama/3074/2012,2012,12,13,USA
>CY147223,B/Alabama/3331/2013,2013,03,11,USA
>CY147237,B/Alabama/3345/2013,2013,03,15,USA
>CY187729,B/Alabama/3811/2014,2014,02,21,USA
>CY187730,B/Alabama/3812/2014,2014,04,21,USA
>CY193632,B/Alabama/4379/2014,2014,12,15,USA
>CY193848,B/Alabama/4595/2014,2014,12,16,USA
>CY193849,B/Alabama/4596/2015,2015,01,28,USA
>CY194043,B/Alabama/4790/2015,2015,02,10,USA
>CY194075,B/Alabama/4822/2015,2015,03,03,USA
>CY194076,B/Alabama/4823/2015,2015,03,19,USA
>MH885101,B/Alabama/6872/2018,2018,01,26,USA
>MH885102,B/Alabama/6873/2018,2018,01,26,USA
>CY084371,B/Alabama/AF2766/2010,2010,12,15,USA
>CY084372,B/Alabama/AF2767/2010,2010,12,28,USA
>EU515966,B/Alaska/01/2007,2007,01,30,USA
>EU779567,B/Alaska/01/2008,2008,01,16,USA
>GQ895060,B/Alaska/01/2009,2009,01,21,USA
>JN992893,B/Alaska/01/2010,2010,12,09,USA
>KC813772,B/Alaska/01/2011,2011,01,08,USA
>KC891803,B/Alaska/01/2012,2012,02,13,USA
>KF217046,B/Alaska/01/2013,2013,01,17,USA
>KM063613,B/Alaska/01/2014,2014,03,18,USA
>KT853315,B/Alaska/01/2015,2015,01,15,USA
>KX007079,B/Alaska/01/2016,2016,01,07,USA
>CY221134,B/Alaska/01/2017,2017,01,06,USA
>MH135909,B/Alaska/01/2018,2018,01,12,USA
>EU515963,B/Alaska/02/2007,2007,02,08,USA
>FJ480147,B/Alaska/02/2008,2008,08,07,USA
>GQ451541,B/Alaska/02/2009,2009,02,04,USA
>KC891895,B/Alaska/02/2012,2012,03,12,USA
>KF216792,B/Alaska/02/2013,2013,02,08,USA
>KT283498,B/Alaska/02/2014,2014,05,29,USA
>KX002647,B/Alaska/02/2015,2015,01,18,USA
>KX613487,B/Alaska/02/2016,2016,01,25,USA
>CY226358,B/Alaska/02/2017,2017,03,09,USA
>MH135917,B/Alaska/02/2018,2018,01,16,USA
>CY019659,B/Alaska/03/1992,1992,06,13,USA
>FJ480146,B/Alaska/03/2008,2008,10,06,USA
>GQ451526,B/Alaska/03/2009,2009,03,17,USA
>KF216476,B/Alaska/03/2013,2013,02,20,USA
>KT283515,B/Alaska/03/2014,2014,06,09,USA
>KT853297,B/Alaska/03/2015,2015,01,02,USA
>KX613279,B/Alaska/03/2016,2016,01,29,USA
>CY231512,B/Alaska/03/2017,2017,03,29,USA
>MH583096,B/Alaska/03/2018,2018,01,31,USA
