country,region,observation_year,cohort_type,cohort_value,minimum_birth_year,lineage,n_cases
Australia,AUSNZ,2002,age,0,2001,B/Victoria,43
Australia,AUSNZ,2002,age,1,2000,B/Victoria,38
Australia,AUSNZ,2002,age,2,1999,B/Victoria,19
Australia,AUSNZ,2002,age,3,1998,B/Victoria,8
Australia,AUSNZ,2002,age,4,1997,B/Victoria,6
Australia,AUSNZ,2002,age,5,1996,B/Victoria,11
Australia,AUSNZ,2002,age,6,1995,B/Victoria,4
Australia,AUSNZ,2002,age,7,1994,B/Victoria,13
Australia,AUSNZ,2002,age,8,1993,B/Victoria,14
Australia,AUSNZ,2002,age,9,1992,B/Victoria,7
Australia,AUSNZ,2002,age,10,1991,B/Victoria,9
Australia,AUSNZ,2002,age,11,1990,B/Victoria,8
Australia,AUSNZ,2002,age,12,1989,B/Victoria,11
Australia,AUSNZ,2002,age,13,1988,B/Victoria,5
Australia,AUSNZ,2002,age,14,1987,B/Victoria,8
Australia,AUSNZ,2002,age,15,1986,B/Victoria,10
Australia,AUSNZ,2002,age,16,1985,B/Victoria,2
Australia,AUSNZ,2002,age,17,1984,B/Victoria,2
Australia,AUSNZ,2002,age,18,1983,B/Victoria,1
Australia,AUSNZ,2002,age,19,1982,B/Victoria,1
Australia,AUSNZ,2002,age,21,1980,B/Victoria,1
Australia,AUSNZ,2002,age,22,1979,B/Victoria,1
Australia,AUSNZ,2002,age,23,1978,B/Victoria,1
Australia,AUSNZ,2002,age,27,1974,B/Victoria,1
Australia,AUSNZ,2002,age,30,1971,B/Victoria,1
Australia,AUSNZ,2002,age,31,1970,B/Victoria,2
Australia,AUSNZ,2002,age,34,1967,B/Victoria,2
Australia,AUSNZ,2002,age,36,1965,B/Victoria,1
Australia,AUSNZ,2002,age,38,1963,B/Victoria,1
Australia,AUSNZ,2002,age,39,1962,B/Victoria,2
Australia,AUSNZ,2002,age,40,1961,B/Victoria,3
Australia,AUSNZ,2002,age,41,1960,B/Victoria,1
Australia,AUSNZ,2002,age,44,1957,B/Victoria,1
Australia,AUSNZ,2002,age,45,1956,B/Victoria,1
Australia,AUSNZ,2002,age,48,1953,B/Victoria,2
Australia,AUSNZ,2002,age,53,1948,B/Victoria,1
Australia,AUSNZ,2002,age,57,1944,B/Victoria,1
Australia,AUSNZ,2002,age,58,1943,B/Victoria,1
Australia,AUSNZ,2002,age,60,1941,B/Victoria,1
Australia,AUSNZ,2002,age,66,1935,B/Victoria,1
Australia,AUSNZ,2002,age,72,1929,B/Victoria,2
Australia,AUSNZ,2002,age,77,1924,B/Victoria,1
Australia,AUSNZ,2002,age,78,1923,B/Victoria,1
Australia,AUSNZ,2002,age,79,1922,B/Victoria,1
Australia,AUSNZ,2002,age,86,1915,B/Victoria,1
Australia,AUSNZ,2002,age,92,1909,B/Victoria,1
Australia,AUSNZ,2002,age,0,2001,B/Yamagata,2
Australia,AUSNZ,2002,age,2,1999,B/Yamagata,1
Australia,AUSNZ,2002,age,8,1993,B/Yamagata,1
Australia,AUSNZ,2002,age,13,1988,B/Yamagata,1
Australia,AUSNZ,2002,age,15,1986,B/Yamagata,1
Australia,AUSNZ,2002,age,27,1974,B/Yamagata,1
Australia,AUSNZ,2002,age,29,1972,B/Yamagata,1
Australia,AUSNZ,2002,age,31,1970,B/Yamagata,1
Australia,AUSNZ,2002,age,46,1955,B/Yamagata,2
