"year","week","country","season_start_year","season_week","cumulative_season_fraction","cumulative_B_fraction","cumulative_B_fraction_source"
1900,1,"New Zealand",1900,1,0.0192307692307692,1.45897497453778e-12,"beta function"
1900,2,"New Zealand",1900,2,0.0384615384615385,5.88697972572595e-10,"beta function"
1900,3,"New Zealand",1900,3,0.0576923076923077,1.89439870323427e-08,"beta function"
1900,4,"New Zealand",1900,4,0.0769230769230769,2.16263342247361e-07,"beta function"
1900,5,"New Zealand",1900,5,0.0961538461538462,1.39813690637873e-06,"beta function"
1900,6,"New Zealand",1900,6,0.115384615384615,6.30426509223075e-06,"beta function"
1900,7,"New Zealand",1900,7,0.134615384615385,2.21554587919158e-05,"beta function"
1900,8,"New Zealand",1900,8,0.153846153846154,6.48447231238597e-05,"beta function"
1900,9,"New Zealand",1900,9,0.173076923076923,0.000164958055824475,"beta function"
1900,10,"New Zealand",1900,10,0.192307692307692,0.000375524780941532,"beta function"
1900,11,"New Zealand",1900,11,0.211538461538462,0.000781072489322259,"beta function"
1900,12,"New Zealand",1900,12,0.230769230769231,0.00150724554179433,"beta function"
1900,13,"New Zealand",1900,13,0.25,0.00272998217519449,"beta function"
1900,14,"New Zealand",1900,14,0.269230769230769,0.00468306913952178,"beta function"
1900,15,"New Zealand",1900,15,0.288461538461538,0.00766282967617032,"beta function"
1900,16,"New Zealand",1900,16,0.307692307692308,0.0120287640564176,"beta function"
1900,17,"New Zealand",1900,17,0.326923076923077,0.0181991534574785,"beta function"
1900,18,"New Zealand",1900,18,0.346153846153846,0.0266409479118565,"beta function"
1900,19,"New Zealand",1900,19,0.365384615384615,0.0378536674902164,"beta function"
1900,20,"New Zealand",1900,20,0.384615384615385,0.0523475243363432,"beta function"
1900,21,"New Zealand",1900,21,0.403846153846154,0.0706164868005643,"beta function"
1900,22,"New Zealand",1900,22,0.423076923076923,0.0931075167488656,"beta function"
1900,23,"New Zealand",1900,23,0.442307692307692,0.120187676578717,"beta function"
1900,24,"New Zealand",1900,24,0.461538461538462,0.1521111839032,"beta function"
1900,25,"New Zealand",1900,25,0.480769230769231,0.188988753073596,"beta function"
1900,26,"New Zealand",1900,26,0.5,0.230761673336148,"beta function"
1900,27,"New Zealand",1900,27,0.519230769230769,0.277183011120879,"beta function"
1900,28,"New Zealand",1900,28,0.538461538461538,0.327808076314002,"beta function"
1900,29,"New Zealand",1900,29,0.557692307692308,0.381995858388932,"beta function"
1900,30,"New Zealand",1900,30,0.576923076923077,0.438922529514491,"beta function"
1900,31,"New Zealand",1900,31,0.596153846153846,0.497607352880301,"beta function"
1900,32,"New Zealand",1900,32,0.615384615384615,0.556950463239493,"beta function"
1900,33,"New Zealand",1900,33,0.634615384615385,0.615781053280374,"beta function"
1900,34,"New Zealand",1900,34,0.653846153846154,0.672913565204573,"beta function"
1900,35,"New Zealand",1900,35,0.673076923076923,0.727208622072603,"beta function"
1900,36,"New Zealand",1900,36,0.692307692307692,0.77763471434429,"beta function"
1900,37,"New Zealand",1900,37,0.711538461538462,0.823326162022498,"beta function"
1900,38,"New Zealand",1900,38,0.730769230769231,0.863632677736294,"beta function"
1900,39,"New Zealand",1900,39,0.75,0.898156028470339,"beta function"
1900,40,"New Zealand",1900,40,0.769230769230769,0.926769885875767,"beta function"
1900,41,"New Zealand",1900,41,0.788461538461538,0.949619996735958,"beta function"
1900,42,"New Zealand",1900,42,0.807692307692308,0.967103294062433,"beta function"
1900,43,"New Zealand",1900,43,0.826923076923077,0.979826461732152,"beta function"
1900,44,"New Zealand",1900,44,0.846153846153846,0.988546665325595,"beta function"
1900,45,"New Zealand",1900,45,0.865384615384615,0.994099508306216,"beta function"
1900,46,"New Zealand",1900,46,0.884615384615385,0.997321528282378,"beta function"
1900,47,"New Zealand",1900,47,0.903846153846154,0.998976384937059,"beta function"
1900,48,"New Zealand",1900,48,0.923076923076923,0.999694877899086,"beta function"
1900,49,"New Zealand",1900,49,0.942307692307692,0.999938522185838,"beta function"
1900,50,"New Zealand",1900,50,0.961538461538462,0.999993929008689,"beta function"
1900,51,"New Zealand",1900,51,0.980769230769231,0.999999894663557,"beta function"
1900,52,"New Zealand",1900,52,1,1,"beta function"
1901,1,"New Zealand",1901,1,0.0192307692307692,1.45897497453778e-12,"beta function"
1901,2,"New Zealand",1901,2,0.0384615384615385,5.88697972572595e-10,"beta function"
1901,3,"New Zealand",1901,3,0.0576923076923077,1.89439870323427e-08,"beta function"
