"severity","country","region","observation_year","cohort_type","cohort_value","minimum_birth_year","lineage","n_cases"
"Hospital admission","New Zealand","AUSNZ",2012,"age",0,2011,"B/Victoria",3
"Hospital admission","New Zealand","AUSNZ",2012,"age",0,2011,"B/Yamagata",8
"Hospital admission","New Zealand","AUSNZ",2012,"age",1,2010,"B/Yamagata",4
"Hospital admission","New Zealand","AUSNZ",2012,"age",2,2009,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",3,2008,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",4,2007,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",5,2006,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",6,2005,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",9,2002,"B/Yamagata",3
"Hospital admission","New Zealand","AUSNZ",2012,"age",16,1995,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",28,1983,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",34,1977,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",40,1971,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",41,1970,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",42,1969,"B/Victoria",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",43,1968,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",45,1966,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",46,1965,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",48,1963,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",49,1962,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",50,1961,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",51,1960,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",52,1959,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",53,1958,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",56,1955,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",57,1954,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",58,1953,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",59,1952,"B/Yamagata",3
"Hospital admission","New Zealand","AUSNZ",2012,"age",64,1947,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",65,1946,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",66,1945,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",67,1944,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",68,1943,"B/Victoria",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",70,1941,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",71,1940,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",72,1939,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",74,1937,"B/Victoria",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",74,1937,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",75,1936,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2012,"age",76,1935,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",81,1930,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",83,1928,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",85,1926,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",87,1924,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",89,1922,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",90,1921,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2012,"age",94,1917,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",0,2012,"B/Yamagata",8
"Hospital admission","New Zealand","AUSNZ",2013,"age",1,2011,"B/Yamagata",3
"Hospital admission","New Zealand","AUSNZ",2013,"age",2,2010,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2013,"age",3,2009,"B/Victoria",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",3,2009,"B/Yamagata",4
"Hospital admission","New Zealand","AUSNZ",2013,"age",5,2007,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",7,2005,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",10,2002,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2013,"age",15,1997,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2013,"age",16,1996,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",19,1993,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",22,1990,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",23,1989,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",26,1986,"B/Victoria",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",29,1983,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",34,1978,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",35,1977,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",39,1973,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",43,1969,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",45,1967,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",47,1965,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",48,1964,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",49,1963,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",50,1962,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",51,1961,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2013,"age",52,1960,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2013,"age",53,1959,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",55,1957,"B/Yamagata",2
"Hospital admission","New Zealand","AUSNZ",2013,"age",56,1956,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",57,1955,"B/Yamagata",1
"Hospital admission","New Zealand","AUSNZ",2013,"age",60,1952,"B/Yamagata",1
