"country","region","observation_year","cohort_type","cohort_value","minimum_birth_year","lineage","n_cases"
"China","China",2009,"age",1,2007,"B/Yamagata",1
"China","China",2009,"age",3,2005,"B/Victoria",1
"China","China",2009,"age",4,2004,"B/Victoria",1
"China","China",2009,"age",5,2003,"B/Victoria",1
"China","China",2009,"age",5,2003,"B/Yamagata",2
"China","China",2009,"age",6,2002,"B/Victoria",1
"China","China",2009,"age",6,2002,"B/Yamagata",1
"China","China",2009,"age",7,2001,"B/Victoria",1
"China","China",2009,"age",8,2000,"B/Victoria",1
"China","China",2009,"age",12,1996,"B/Yamagata",1
"China","China",2009,"age",13,1995,"B/Victoria",1
"China","China",2009,"age",14,1994,"B/Victoria",1
"China","China",2009,"age",14,1994,"B/Yamagata",1
"China","China",2009,"age",21,1987,"B/Victoria",1
"China","China",2009,"age",22,1986,"B/Victoria",1
"China","China",2009,"age",28,1980,"B/Yamagata",1
"China","China",2009,"age",31,1977,"B/Yamagata",2
"China","China",2009,"age",61,1947,"B/Yamagata",1
"China","China",2009,"age",64,1944,"B/Yamagata",1
"China","China",2009,"age",65,1943,"B/Victoria",1
"China","China",2009,"age",73,1935,"B/Yamagata",1
"China","China",2009,"age",74,1934,"B/Yamagata",1
"China","China",2010,"age",0,2009,"B/Victoria",1
"China","China",2010,"age",0,2009,"B/Yamagata",1
"China","China",2010,"age",2,2007,"B/Victoria",2
"China","China",2010,"age",2,2007,"B/Yamagata",5
"China","China",2010,"age",3,2006,"B/Victoria",2
"China","China",2010,"age",3,2006,"B/Yamagata",2
"China","China",2010,"age",4,2005,"B/Victoria",3
"China","China",2010,"age",4,2005,"B/Yamagata",1
"China","China",2010,"age",5,2004,"B/Victoria",5
"China","China",2010,"age",5,2004,"B/Yamagata",3
"China","China",2010,"age",6,2003,"B/Victoria",3
"China","China",2010,"age",6,2003,"B/Yamagata",6
"China","China",2010,"age",7,2002,"B/Victoria",6
"China","China",2010,"age",7,2002,"B/Yamagata",2
"China","China",2010,"age",8,2001,"B/Victoria",4
"China","China",2010,"age",8,2001,"B/Yamagata",2
"China","China",2010,"age",9,2000,"B/Yamagata",1
"China","China",2010,"age",10,1999,"B/Victoria",1
"China","China",2010,"age",11,1998,"B/Victoria",1
"China","China",2010,"age",11,1998,"B/Yamagata",2
"China","China",2010,"age",12,1997,"B/Yamagata",1
"China","China",2010,"age",13,1996,"B/Victoria",1
"China","China",2010,"age",14,1995,"B/Victoria",2
"China","China",2010,"age",16,1993,"B/Victoria",2
