"country","region","observation_year","cohort_type","cohort_value","minimum_birth_year","lineage","n_cases"
"Europe","Europe",2008,"age",3,2004,"B/Victoria",1
"Europe","Europe",2008,"age",18,1989,"B/Victoria",1
"Europe","Europe",2008,"age",21,1986,"B/Victoria",1
"Europe","Europe",2008,"age",25,1982,"B/Victoria",2
"Europe","Europe",2008,"age",26,1981,"B/Victoria",1
"Europe","Europe",2008,"age",31,1976,"B/Victoria",1
"Europe","Europe",2008,"age",38,1969,"B/Yamagata",1
"Europe","Europe",2008,"age",52,1955,"B/Yamagata",1
"Europe","Europe",2008,"age",69,1938,"B/Victoria",1
"Europe","Europe",2009,"age",1,2007,"B/Victoria",1
"Europe","Europe",2009,"age",2,2006,"B/Victoria",1
"Europe","Europe",2009,"age",2,2006,"B/Yamagata",1
"Europe","Europe",2009,"age",3,2005,"B/Victoria",3
"Europe","Europe",2009,"age",4,2004,"B/Victoria",1
"Europe","Europe",2009,"age",4,2004,"B/Yamagata",1
"Europe","Europe",2009,"age",5,2003,"B/Victoria",2
"Europe","Europe",2009,"age",6,2002,"B/Victoria",2
"Europe","Europe",2009,"age",7,2001,"B/Victoria",1
"Europe","Europe",2009,"age",7,2001,"B/Yamagata",1
"Europe","Europe",2009,"age",8,2000,"B/Victoria",4
"Europe","Europe",2009,"age",9,1999,"B/Victoria",3
"Europe","Europe",2009,"age",10,1998,"B/Victoria",5
"Europe","Europe",2009,"age",11,1997,"B/Victoria",2
"Europe","Europe",2009,"age",12,1996,"B/Victoria",3
"Europe","Europe",2009,"age",13,1995,"B/Victoria",4
"Europe","Europe",2009,"age",16,1992,"B/Victoria",3
"Europe","Europe",2009,"age",17,1991,"B/Victoria",2
"Europe","Europe",2009,"age",18,1990,"B/Victoria",1
"Europe","Europe",2009,"age",19,1989,"B/Victoria",1
"Europe","Europe",2009,"age",20,1988,"B/Victoria",1
"Europe","Europe",2009,"age",21,1987,"B/Victoria",1
"Europe","Europe",2009,"age",22,1986,"B/Victoria",4
"Europe","Europe",2009,"age",23,1985,"B/Victoria",2
"Europe","Europe",2009,"age",24,1984,"B/Victoria",1
"Europe","Europe",2009,"age",25,1983,"B/Victoria",1
"Europe","Europe",2009,"age",26,1982,"B/Victoria",3
"Europe","Europe",2009,"age",27,1981,"B/Victoria",1
"Europe","Europe",2009,"age",29,1979,"B/Victoria",1
"Europe","Europe",2009,"age",30,1978,"B/Victoria",1
"Europe","Europe",2009,"age",31,1977,"B/Victoria",1
"Europe","Europe",2009,"age",32,1976,"B/Victoria",1
"Europe","Europe",2009,"age",33,1975,"B/Victoria",1
"Europe","Europe",2009,"age",36,1972,"B/Victoria",3
"Europe","Europe",2009,"age",40,1968,"B/Victoria",1
"Europe","Europe",2009,"age",43,1965,"B/Victoria",1
"Europe","Europe",2009,"age",47,1961,"B/Victoria",1
"Europe","Europe",2009,"age",47,1961,"B/Yamagata",1
"Europe","Europe",2009,"age",51,1957,"B/Yamagata",1
"Europe","Europe",2009,"age",56,1952,"B/Yamagata",1
"Europe","Europe",2009,"age",65,1943,"B/Victoria",1
"Europe","Europe",2009,"age",76,1932,"B/Victoria",1
"Europe","Europe",2009,"age",78,1930,"B/Victoria",1
"Europe","Europe",2010,"age",0,2009,"B/Victoria",2
"Europe","Europe",2010,"age",1,2008,"B/Victoria",1
"Europe","Europe",2010,"age",2,2007,"B/Victoria",1
"Europe","Europe",2010,"age",3,2006,"B/Victoria",4
"Europe","Europe",2010,"age",4,2005,"B/Victoria",1
"Europe","Europe",2010,"age",4,2005,"B/Yamagata",1
"Europe","Europe",2010,"age",5,2004,"B/Victoria",2
"Europe","Europe",2010,"age",6,2003,"B/Victoria",2
