"","country","region","observation_year","cohort_type","cohort_value","minimum_birth_year","lineage","n_cases"
"1","New Zealand","AUSNZ",2001,"age",0,2000,"B/Yamagata",23
"2","New Zealand","AUSNZ",2001,"age",1,1999,"B/Yamagata",4
"3","New Zealand","AUSNZ",2001,"age",2,1998,"B/Yamagata",3
"4","New Zealand","AUSNZ",2001,"age",3,1997,"B/Yamagata",6
"5","New Zealand","AUSNZ",2001,"age",4,1996,"B/Yamagata",4
"6","New Zealand","AUSNZ",2001,"age",5,1995,"B/Yamagata",4
"7","New Zealand","AUSNZ",2001,"age",6,1994,"B/Yamagata",2
"8","New Zealand","AUSNZ",2001,"age",7,1993,"B/Yamagata",5
"9","New Zealand","AUSNZ",2001,"age",8,1992,"B/Yamagata",3
"10","New Zealand","AUSNZ",2001,"age",9,1991,"B/Yamagata",3
"11","New Zealand","AUSNZ",2001,"age",10,1990,"B/Yamagata",3
"12","New Zealand","AUSNZ",2001,"age",11,1989,"B/Yamagata",3
"13","New Zealand","AUSNZ",2001,"age",12,1988,"B/Yamagata",1
"14","New Zealand","AUSNZ",2001,"age",13,1987,"B/Yamagata",3
"15","New Zealand","AUSNZ",2001,"age",14,1986,"B/Yamagata",8
"16","New Zealand","AUSNZ",2001,"age",15,1985,"B/Yamagata",7
"17","New Zealand","AUSNZ",2001,"age",16,1984,"B/Yamagata",4
"18","New Zealand","AUSNZ",2001,"age",17,1983,"B/Yamagata",5
"19","New Zealand","AUSNZ",2001,"age",18,1982,"B/Yamagata",4
"20","New Zealand","AUSNZ",2001,"age",19,1981,"B/Yamagata",5
"21","New Zealand","AUSNZ",2001,"age",20,1980,"B/Yamagata",6
"22","New Zealand","AUSNZ",2001,"age",21,1979,"B/Yamagata",3
"23","New Zealand","AUSNZ",2001,"age",22,1978,"B/Yamagata",3
"24","New Zealand","AUSNZ",2001,"age",23,1977,"B/Yamagata",4
"25","New Zealand","AUSNZ",2001,"age",24,1976,"B/Yamagata",5
"26","New Zealand","AUSNZ",2001,"age",25,1975,"B/Yamagata",1
"27","New Zealand","AUSNZ",2001,"age",26,1974,"B/Yamagata",5
"28","New Zealand","AUSNZ",2001,"age",27,1973,"B/Yamagata",2
"29","New Zealand","AUSNZ",2001,"age",28,1972,"B/Yamagata",7
"30","New Zealand","AUSNZ",2001,"age",29,1971,"B/Yamagata",2
"31","New Zealand","AUSNZ",2001,"age",30,1970,"B/Yamagata",4
"32","New Zealand","AUSNZ",2001,"age",31,1969,"B/Yamagata",4
"33","New Zealand","AUSNZ",2001,"age",32,1968,"B/Yamagata",3
"34","New Zealand","AUSNZ",2001,"age",33,1967,"B/Yamagata",3
"35","New Zealand","AUSNZ",2001,"age",34,1966,"B/Yamagata",6
"36","New Zealand","AUSNZ",2001,"age",35,1965,"B/Yamagata",2
"37","New Zealand","AUSNZ",2001,"age",36,1964,"B/Yamagata",3
"38","New Zealand","AUSNZ",2001,"age",37,1963,"B/Yamagata",2
"39","New Zealand","AUSNZ",2001,"age",38,1962,"B/Yamagata",3
"40","New Zealand","AUSNZ",2001,"age",39,1961,"B/Yamagata",1
"41","New Zealand","AUSNZ",2001,"age",40,1960,"B/Yamagata",3
