"","country","region","observation_year","cohort_type","cohort_value","minimum_birth_year","lineage","n_cases"
"1","New Zealand","AUSNZ",2001,"age",0,2000,"B/Yamagata",1
"2","New Zealand","AUSNZ",2001,"age",3,1997,"B/Yamagata",1
"3","New Zealand","AUSNZ",2001,"age",4,1996,"B/Yamagata",1
"4","New Zealand","AUSNZ",2001,"age",6,1994,"B/Yamagata",2
"5","New Zealand","AUSNZ",2001,"age",7,1993,"B/Yamagata",4
"6","New Zealand","AUSNZ",2001,"age",8,1992,"B/Yamagata",1
"7","New Zealand","AUSNZ",2001,"age",10,1990,"B/Yamagata",2
"8","New Zealand","AUSNZ",2001,"age",11,1989,"B/Yamagata",2
"9","New Zealand","AUSNZ",2001,"age",12,1988,"B/Yamagata",1
"10","New Zealand","AUSNZ",2001,"age",14,1986,"B/Yamagata",6
"11","New Zealand","AUSNZ",2001,"age",15,1985,"B/Yamagata",4
"12","New Zealand","AUSNZ",2001,"age",16,1984,"B/Yamagata",3
"13","New Zealand","AUSNZ",2001,"age",17,1983,"B/Yamagata",3
"14","New Zealand","AUSNZ",2001,"age",18,1982,"B/Yamagata",4
"15","New Zealand","AUSNZ",2001,"age",19,1981,"B/Yamagata",5
"16","New Zealand","AUSNZ",2001,"age",20,1980,"B/Yamagata",5
"17","New Zealand","AUSNZ",2001,"age",21,1979,"B/Yamagata",3
"18","New Zealand","AUSNZ",2001,"age",22,1978,"B/Yamagata",2
"19","New Zealand","AUSNZ",2001,"age",23,1977,"B/Yamagata",4
"20","New Zealand","AUSNZ",2001,"age",24,1976,"B/Yamagata",3
"21","New Zealand","AUSNZ",2001,"age",25,1975,"B/Yamagata",1
"22","New Zealand","AUSNZ",2001,"age",26,1974,"B/Yamagata",4
"23","New Zealand","AUSNZ",2001,"age",27,1973,"B/Yamagata",1
"24","New Zealand","AUSNZ",2001,"age",28,1972,"B/Yamagata",5
"25","New Zealand","AUSNZ",2001,"age",30,1970,"B/Yamagata",2
"26","New Zealand","AUSNZ",2001,"age",31,1969,"B/Yamagata",1
"27","New Zealand","AUSNZ",2001,"age",32,1968,"B/Yamagata",1
"28","New Zealand","AUSNZ",2001,"age",33,1967,"B/Yamagata",3
"29","New Zealand","AUSNZ",2001,"age",34,1966,"B/Yamagata",4
"30","New Zealand","AUSNZ",2001,"age",35,1965,"B/Yamagata",2
"31","New Zealand","AUSNZ",2001,"age",37,1963,"B/Yamagata",2
"32","New Zealand","AUSNZ",2001,"age",38,1962,"B/Yamagata",3
"33","New Zealand","AUSNZ",2001,"age",39,1961,"B/Yamagata",1
"34","New Zealand","AUSNZ",2001,"age",40,1960,"B/Yamagata",1
"35","New Zealand","AUSNZ",2001,"age",42,1958,"B/Yamagata",2
"36","New Zealand","AUSNZ",2001,"age",44,1956,"B/Yamagata",1
"37","New Zealand","AUSNZ",2001,"age",45,1955,"B/Yamagata",1
"38","New Zealand","AUSNZ",2001,"age",46,1954,"B/Yamagata",3
"39","New Zealand","AUSNZ",2001,"age",47,1953,"B/Yamagata",1
"40","New Zealand","AUSNZ",2001,"age",49,1951,"B/Yamagata",1
"41","New Zealand","AUSNZ",2001,"age",52,1948,"B/Yamagata",2
"42","New Zealand","AUSNZ",2001,"age",55,1945,"B/Yamagata",1
"43","New Zealand","AUSNZ",2001,"age",56,1944,"B/Yamagata",1
"44","New Zealand","AUSNZ",2001,"age",60,1940,"B/Yamagata",2
"45","New Zealand","AUSNZ",2001,"age",61,1939,"B/Yamagata",1
"46","New Zealand","AUSNZ",2002,"age",5,1996,"B/Victoria",2
"47","New Zealand","AUSNZ",2002,"age",6,1995,"B/Victoria",3
"48","New Zealand","AUSNZ",2002,"age",7,1994,"B/Victoria",2
"49","New Zealand","AUSNZ",2002,"age",9,1992,"B/Victoria",1
"50","New Zealand","AUSNZ",2002,"age",10,1991,"B/Victoria",1
"51","New Zealand","AUSNZ",2002,"age",11,1990,"B/Victoria",2
"52","New Zealand","AUSNZ",2002,"age",12,1989,"B/Victoria",4
"53","New Zealand","AUSNZ",2002,"age",13,1988,"B/Victoria",2
"54","New Zealand","AUSNZ",2002,"age",14,1987,"B/Victoria",3
"55","New Zealand","AUSNZ",2002,"age",15,1986,"B/Victoria",4
"56","New Zealand","AUSNZ",2002,"age",16,1985,"B/Victoria",2
"57","New Zealand","AUSNZ",2002,"age",17,1984,"B/Victoria",3
"58","New Zealand","AUSNZ",2002,"age",18,1983,"B/Victoria",4
"59","New Zealand","AUSNZ",2002,"age",19,1982,"B/Victoria",1
"60","New Zealand","AUSNZ",2002,"age",22,1979,"B/Victoria",1
"61","New Zealand","AUSNZ",2002,"age",27,1974,"B/Victoria",1
"62","New Zealand","AUSNZ",2002,"age",28,1973,"B/Victoria",2
"63","New Zealand","AUSNZ",2002,"age",31,1970,"B/Victoria",1
"64","New Zealand","AUSNZ",2002,"age",32,1969,"B/Victoria",1
"65","New Zealand","AUSNZ",2002,"age",33,1968,"B/Victoria",1
"66","New Zealand","AUSNZ",2002,"age",34,1967,"B/Victoria",1
"67","New Zealand","AUSNZ",2002,"age",36,1965,"B/Victoria",1
"68","New Zealand","AUSNZ",2002,"age",38,1963,"B/Victoria",1
"69","New Zealand","AUSNZ",2002,"age",40,1961,"B/Victoria",1
"70","New Zealand","AUSNZ",2002,"age",45,1956,"B/Victoria",1
"71","New Zealand","AUSNZ",2002,"age",46,1955,"B/Victoria",1
"72","New Zealand","AUSNZ",2003,"age",26,1976,"B/Yamagata",1
"73","New Zealand","AUSNZ",2004,"age",5,1998,"B/Yamagata",1
"74","New Zealand","AUSNZ",2004,"age",17,1986,"B/Yamagata",1
"75","New Zealand","AUSNZ",2004,"age",24,1979,"B/Yamagata",1
"76","New Zealand","AUSNZ",2004,"age",27,1976,"B/Yamagata",2
"77","New Zealand","AUSNZ",2004,"age",28,1975,"B/Yamagata",1
"78","New Zealand","AUSNZ",2004,"age",29,1974,"B/Yamagata",1
"79","New Zealand","AUSNZ",2004,"age",31,1972,"B/Yamagata",1
"80","New Zealand","AUSNZ",2004,"age",33,1970,"B/Yamagata",1
"81","New Zealand","AUSNZ",2004,"age",36,1967,"B/Yamagata",1
"82","New Zealand","AUSNZ",2004,"age",43,1960,"B/Yamagata",1
"83","New Zealand","AUSNZ",2004,"age",69,1934,"B/Yamagata",1
"84","New Zealand","AUSNZ",2004,"age",73,1930,"B/Victoria",1
"85","New Zealand","AUSNZ",2005,"age",0,2004,"B/Victoria",1
"86","New Zealand","AUSNZ",2005,"age",2,2002,"B/Victoria",2
"87","New Zealand","AUSNZ",2005,"age",3,2001,"B/Victoria",2
"88","New Zealand","AUSNZ",2005,"age",3,2001,"B/Yamagata",1
"89","New Zealand","AUSNZ",2005,"age",4,2000,"B/Victoria",3
"90","New Zealand","AUSNZ",2005,"age",5,1999,"B/Victoria",4
"91","New Zealand","AUSNZ",2005,"age",5,1999,"B/Yamagata",1
"92","New Zealand","AUSNZ",2005,"age",6,1998,"B/Victoria",11
"93","New Zealand","AUSNZ",2005,"age",6,1998,"B/Yamagata",1
"94","New Zealand","AUSNZ",2005,"age",7,1997,"B/Victoria",5
"95","New Zealand","AUSNZ",2005,"age",8,1996,"B/Victoria",11
"96","New Zealand","AUSNZ",2005,"age",8,1996,"B/Yamagata",2
"97","New Zealand","AUSNZ",2005,"age",9,1995,"B/Victoria",9
