"country","region","observation_year","cohort_type","cohort_value","minimum_birth_year","n_persons"
"Australia","AUSNZ",1971,"age","0",1970,261629
"Australia","AUSNZ",1972,"age","0",1971,268455
"Australia","AUSNZ",1973,"age","0",1972,253285
"Australia","AUSNZ",1974,"age","0",1973,242573
"Australia","AUSNZ",1975,"age","0",1974,235581
"Australia","AUSNZ",1976,"age","0",1975,226356
"Australia","AUSNZ",1977,"age","0",1976,224837
"Australia","AUSNZ",1978,"age","0",1977,224599
"Australia","AUSNZ",1979,"age","0",1978,221768
"Australia","AUSNZ",1980,"age","0",1979,222568
"Australia","AUSNZ",1981,"age","0",1980,230722
"Australia","AUSNZ",1982,"age","0",1981,236108
"Australia","AUSNZ",1983,"age","0",1982,240717
"Australia","AUSNZ",1984,"age","0",1983,239221
"Australia","AUSNZ",1985,"age","0",1984,241022
"Australia","AUSNZ",1986,"age","0",1985,238584
"Australia","AUSNZ",1987,"age","0",1986,241989
"Australia","AUSNZ",1988,"age","0",1987,245514
"Australia","AUSNZ",1989,"age","0",1988,249558
"Australia","AUSNZ",1990,"age","0",1989,256554
"Australia","AUSNZ",1991,"age","0",1990,259085
"Australia","AUSNZ",1992,"age","0",1991,258028
"Australia","AUSNZ",1993,"age","0",1992,258484
"Australia","AUSNZ",1994,"age","0",1993,257403
"Australia","AUSNZ",1995,"age","0",1994,257572
"Australia","AUSNZ",1996,"age","0",1995,254191
"Australia","AUSNZ",1997,"age","0",1996,253375
"Australia","AUSNZ",1998,"age","0",1997,249279
"Australia","AUSNZ",1999,"age","0",1998,250617
"Australia","AUSNZ",2000,"age","0",1999,251139
"Australia","AUSNZ",2001,"age","0",2000,251320
"Australia","AUSNZ",2002,"age","0",2001,248820
"Australia","AUSNZ",2003,"age","0",2002,248959
"Australia","AUSNZ",2004,"age","0",2003,251809
"Australia","AUSNZ",2005,"age","0",2004,257219
"Australia","AUSNZ",2006,"age","0",2005,266887
"Australia","AUSNZ",2007,"age","0",2006,283853
"Australia","AUSNZ",2008,"age","0",2007,291214
"Australia","AUSNZ",2009,"age","0",2008,295261
"Australia","AUSNZ",2010,"age","0",2009,297437
"Australia","AUSNZ",2011,"age","0",2010,290397
"Australia","AUSNZ",2012,"age","0",2011,304718
"Australia","AUSNZ",2013,"age","0",2012,309939
"Australia","AUSNZ",2014,"age","0",2013,306333
"Australia","AUSNZ",2015,"age","0",2014,308446
"Australia","AUSNZ",2016,"age","0",2015,318860
"Australia","AUSNZ",2017,"age","0",2016,306802
"Australia","AUSNZ",2018,"age","0",2017,303407
"Australia","AUSNZ",2019,"age","0",2018,302705
"Australia","AUSNZ",1971,"age","1",1969,249943
"Australia","AUSNZ",1972,"age","1",1970,263427
"Australia","AUSNZ",1973,"age","1",1971,268711
"Australia","AUSNZ",1974,"age","1",1972,255067
"Australia","AUSNZ",1975,"age","1",1973,244403
"Australia","AUSNZ",1976,"age","1",1974,234155
"Australia","AUSNZ",1977,"age","1",1975,227309
"Australia","AUSNZ",1978,"age","1",1976,225578
"Australia","AUSNZ",1979,"age","1",1977,225016
"Australia","AUSNZ",1980,"age","1",1978,222896
"Australia","AUSNZ",1981,"age","1",1979,224631
"Australia","AUSNZ",1982,"age","1",1980,232589
"Australia","AUSNZ",1983,"age","1",1981,237097
"Australia","AUSNZ",1984,"age","1",1982,241246
"Australia","AUSNZ",1985,"age","1",1983,239865
"Australia","AUSNZ",1986,"age","1",1984,242597
"Australia","AUSNZ",1987,"age","1",1985,241123
"Australia","AUSNZ",1988,"age","1",1986,244292
"Australia","AUSNZ",1989,"age","1",1987,247817
"Australia","AUSNZ",1990,"age","1",1988,251302
"Australia","AUSNZ",1991,"age","1",1989,257523
"Australia","AUSNZ",1992,"age","1",1990,259878
"Australia","AUSNZ",1993,"age","1",1991,257688
"Australia","AUSNZ",1994,"age","1",1992,258426
"Australia","AUSNZ",1995,"age","1",1993,258057
"Australia","AUSNZ",1996,"age","1",1994,258399
"Australia","AUSNZ",1997,"age","1",1995,255188
"Australia","AUSNZ",1998,"age","1",1996,254452
"Australia","AUSNZ",1999,"age","1",1997,250579
"Australia","AUSNZ",2000,"age","1",1998,252358
"Australia","AUSNZ",2001,"age","1",1999,253737
"Australia","AUSNZ",2002,"age","1",2000,252634
"Australia","AUSNZ",2003,"age","1",2001,250356
"Australia","AUSNZ",2004,"age","1",2002,250613
"Australia","AUSNZ",2005,"age","1",2003,253896
"Australia","AUSNZ",2006,"age","1",2004,258624
"Australia","AUSNZ",2007,"age","1",2005,270527
"Australia","AUSNZ",2008,"age","1",2006,284625
"Australia","AUSNZ",2009,"age","1",2007,291342
"Australia","AUSNZ",2010,"age","1",2008,293410
