"season_start_year","season_week","weekly_cases","cumulative_n_cases","season_total_cases","cumulative_B_fraction","n_weeks_in_year","cumulative_season_fraction"
2001,21,4,4,221,0.0180995475113122,52,0.403846153846154
2001,22,6,10,221,0.0452488687782805,52,0.423076923076923
2001,23,7,17,221,0.0769230769230769,52,0.442307692307692
2001,24,4,21,221,0.0950226244343891,52,0.461538461538462
2001,25,4,25,221,0.113122171945701,52,0.480769230769231
2001,26,13,38,221,0.171945701357466,52,0.5
2001,27,5,43,221,0.194570135746606,52,0.519230769230769
2001,28,12,55,221,0.248868778280543,52,0.538461538461538
2001,29,14,69,221,0.312217194570136,52,0.557692307692308
2001,30,13,82,221,0.3710407239819,52,0.576923076923077
2001,31,24,106,221,0.479638009049774,52,0.596153846153846
2001,32,16,122,221,0.552036199095023,52,0.615384615384615
2001,33,25,147,221,0.665158371040724,52,0.634615384615385
2001,34,19,166,221,0.751131221719457,52,0.653846153846154
2001,35,20,186,221,0.841628959276018,52,0.673076923076923
2001,36,10,196,221,0.886877828054299,52,0.692307692307692
2001,37,7,203,221,0.918552036199095,52,0.711538461538462
2001,38,6,209,221,0.945701357466063,52,0.730769230769231
2001,39,4,213,221,0.963800904977376,52,0.75
2001,40,4,217,221,0.981900452488688,52,0.769230769230769
2001,41,1,218,221,0.986425339366516,52,0.788461538461538
2001,49,3,221,221,1,52,0.942307692307692
2002,9,1,1,148,0.00675675675675676,52,0.173076923076923
2002,15,1,2,148,0.0135135135135135,52,0.288461538461538
2002,19,1,3,148,0.0202702702702703,52,0.365384615384615
2002,20,2,5,148,0.0337837837837838,52,0.384615384615385
2002,21,4,9,148,0.0608108108108108,52,0.403846153846154
2002,22,2,11,148,0.0743243243243243,52,0.423076923076923
2002,23,4,15,148,0.101351351351351,52,0.442307692307692
2002,24,7,22,148,0.148648648648649,52,0.461538461538462
2002,25,5,27,148,0.182432432432432,52,0.480769230769231
2002,26,12,39,148,0.263513513513513,52,0.5
2002,27,6,45,148,0.304054054054054,52,0.519230769230769
2002,28,4,49,148,0.331081081081081,52,0.538461538461538
2002,29,6,55,148,0.371621621621622,52,0.557692307692308
2002,30,6,61,148,0.412162162162162,52,0.576923076923077
2002,31,6,67,148,0.452702702702703,52,0.596153846153846
2002,32,14,81,148,0.547297297297297,52,0.615384615384615
2002,33,9,90,148,0.608108108108108,52,0.634615384615385
2002,34,13,103,148,0.695945945945946,52,0.653846153846154
2002,35,19,122,148,0.824324324324324,52,0.673076923076923
2002,36,9,131,148,0.885135135135135,52,0.692307692307692
2002,37,10,141,148,0.952702702702703,52,0.711538461538462
2002,38,2,143,148,0.966216216216216,52,0.730769230769231
2002,40,2,145,148,0.97972972972973,52,0.769230769230769
2002,41,2,147,148,0.993243243243243,52,0.788461538461538
2002,43,1,148,148,1,52,0.826923076923077
2003,8,1,1,3,0.333333333333333,52,0.153846153846154
2003,40,1,2,3,0.666666666666667,52,0.769230769230769
2003,45,1,3,3,1,52,0.865384615384615
2004,18,1,1,74,0.0135135135135135,53,0.339622641509434
2004,29,1,2,74,0.027027027027027,53,0.547169811320755
2004,30,1,3,74,0.0405405405405405,53,0.566037735849057
2004,33,1,4,74,0.0540540540540541,53,0.622641509433962
2004,34,2,6,74,0.0810810810810811,53,0.641509433962264
2004,35,2,8,74,0.108108108108108,53,0.660377358490566
2004,36,2,10,74,0.135135135135135,53,0.679245283018868
2004,37,1,11,74,0.148648648648649,53,0.69811320754717
2004,38,6,17,74,0.22972972972973,53,0.716981132075472
2004,39,8,25,74,0.337837837837838,53,0.735849056603774
2004,40,10,35,74,0.472972972972973,53,0.754716981132076
2004,41,11,46,74,0.621621621621622,53,0.773584905660377
2004,42,8,54,74,0.72972972972973,53,0.792452830188679
2004,43,9,63,74,0.851351351351351,53,0.811320754716981
2004,44,4,67,74,0.905405405405405,53,0.830188679245283
2004,45,4,71,74,0.959459459459459,53,0.849056603773585
2004,46,2,73,74,0.986486486486487,53,0.867924528301887
2004,47,1,74,74,1,53,0.886792452830189
2005,2,1,1,734,0.00136239782016349,52,0.0384615384615385
2005,3,1,2,734,0.00272479564032698,52,0.0576923076923077
2005,9,1,3,734,0.00408719346049046,52,0.173076923076923
2005,11,1,4,734,0.00544959128065395,52,0.211538461538462
2005,13,1,5,734,0.00681198910081744,52,0.25
2005,14,3,8,734,0.0108991825613079,52,0.269230769230769
2005,15,3,11,734,0.0149863760217984,52,0.288461538461538
2005,16,6,17,734,0.0231607629427793,52,0.307692307692308
2005,17,4,21,734,0.0286103542234332,52,0.326923076923077
2005,18,5,26,734,0.0354223433242507,52,0.346153846153846
2005,19,7,33,734,0.0449591280653951,52,0.365384615384615
2005,20,23,56,734,0.0762942779291553,52,0.384615384615385
2005,21,54,110,734,0.149863760217984,52,0.403846153846154
2005,22,51,161,734,0.219346049046322,52,0.423076923076923
2005,23,69,230,734,0.313351498637602,52,0.442307692307692
2005,24,80,310,734,0.422343324250681,52,0.461538461538462
2005,25,115,425,734,0.579019073569482,52,0.480769230769231
2005,26,117,542,734,0.73841961852861,52,0.5
2005,27,95,637,734,0.867847411444142,52,0.519230769230769
2005,28,32,669,734,0.911444141689373,52,0.538461538461538
2005,29,27,696,734,0.948228882833787,52,0.557692307692308
2005,30,13,709,734,0.965940054495913,52,0.576923076923077
2005,31,8,717,734,0.976839237057221,52,0.596153846153846
2005,32,4,721,734,0.982288828337875,52,0.615384615384615
2005,33,3,724,734,0.986376021798365,52,0.634615384615385
2005,34,7,731,734,0.99591280653951,52,0.653846153846154
2005,36,2,733,734,0.998637602179837,52,0.692307692307692
2005,40,1,734,734,1,52,0.769230769230769
2006,1,1,1,6,0.166666666666667,52,0.0192307692307692
2006,10,1,2,6,0.333333333333333,52,0.192307692307692
2006,21,1,3,6,0.5,52,0.403846153846154
2006,24,1,4,6,0.666666666666667,52,0.461538461538462
2006,37,1,5,6,0.833333333333333,52,0.711538461538462
2006,38,1,6,6,1,52,0.730769230769231
2007,4,1,1,163,0.00613496932515337,52,0.0769230769230769
2007,5,1,2,163,0.0122699386503067,52,0.0961538461538462
2007,10,1,3,163,0.0184049079754601,52,0.192307692307692
2007,15,1,4,163,0.0245398773006135,52,0.288461538461538
2007,20,1,5,163,0.0306748466257669,52,0.384615384615385
2007,26,4,9,163,0.0552147239263804,52,0.5
2007,27,9,18,163,0.110429447852761,52,0.519230769230769
2007,28,6,24,163,0.147239263803681,52,0.538461538461538
2007,29,11,35,163,0.214723926380368,52,0.557692307692308
2007,30,5,40,163,0.245398773006135,52,0.576923076923077
2007,31,11,51,163,0.312883435582822,52,0.596153846153846
2007,32,7,58,163,0.355828220858896,52,0.615384615384615
2007,33,13,71,163,0.43558282208589,52,0.634615384615385
2007,34,16,87,163,0.533742331288344,52,0.653846153846154
2007,35,12,99,163,0.607361963190184,52,0.673076923076923
2007,36,17,116,163,0.711656441717791,52,0.692307692307692
2007,37,12,128,163,0.785276073619632,52,0.711538461538462
2007,38,13,141,163,0.865030674846626,52,0.730769230769231
2007,39,8,149,163,0.914110429447853,52,0.75
2007,40,5,154,163,0.94478527607362,52,0.769230769230769
2007,41,4,158,163,0.969325153374233,52,0.788461538461538
2007,42,2,160,163,0.98159509202454,52,0.807692307692308
2007,43,1,161,163,0.987730061349693,52,0.826923076923077
2007,44,1,162,163,0.993865030674847,52,0.846153846153846
2007,50,1,163,163,1,52,0.961538461538462
2008,12,1,1,630,0.00158730158730159,52,0.230769230769231
2008,13,1,2,630,0.00317460317460317,52,0.25
2008,17,1,3,630,0.00476190476190476,52,0.326923076923077
2008,18,1,4,630,0.00634920634920635,52,0.346153846153846
2008,20,1,5,630,0.00793650793650794,52,0.384615384615385
2008,21,3,8,630,0.0126984126984127,52,0.403846153846154
2008,22,1,9,630,0.0142857142857143,52,0.423076923076923
2008,23,1,10,630,0.0158730158730159,52,0.442307692307692
2008,24,6,16,630,0.0253968253968254,52,0.461538461538462
2008,25,10,26,630,0.0412698412698413,52,0.480769230769231
2008,26,13,39,630,0.0619047619047619,52,0.5
2008,27,12,51,630,0.080952380952381,52,0.519230769230769
2008,28,30,81,630,0.128571428571429,52,0.538461538461538
2008,29,39,120,630,0.19047619047619,52,0.557692307692308
2008,30,41,161,630,0.255555555555556,52,0.576923076923077
2008,31,44,205,630,0.325396825396825,52,0.596153846153846
2008,32,59,264,630,0.419047619047619,52,0.615384615384615
2008,33,83,347,630,0.550793650793651,52,0.634615384615385
2008,34,68,415,630,0.658730158730159,52,0.653846153846154
2008,35,82,497,630,0.788888888888889,52,0.673076923076923
2008,36,61,558,630,0.885714285714286,52,0.692307692307692
2008,37,29,587,630,0.931746031746032,52,0.711538461538462
2008,38,19,606,630,0.961904761904762,52,0.730769230769231
2008,39,12,618,630,0.980952380952381,52,0.75
2008,40,6,624,630,0.990476190476191,52,0.769230769230769
2008,42,6,630,630,1,52,0.807692307692308
2009,18,1,1,6,0.166666666666667,53,0.339622641509434
2009,20,1,2,6,0.333333333333333,53,0.377358490566038
2009,22,1,3,6,0.5,53,0.415094339622642
2009,24,1,4,6,0.666666666666667,53,0.452830188679245
2009,33,1,5,6,0.833333333333333,53,0.622641509433962
2009,34,1,6,6,1,53,0.641509433962264
2010,26,1,1,10,0.1,52,0.5
2010,28,1,2,10,0.2,52,0.538461538461538
2010,29,1,3,10,0.3,52,0.557692307692308
2010,30,1,4,10,0.4,52,0.576923076923077
2010,31,3,7,10,0.7,52,0.596153846153846
2010,36,1,8,10,0.8,52,0.692307692307692
2010,50,2,10,10,1,52,0.961538461538462
2011,6,1,1,592,0.00168918918918919,52,0.115384615384615
2011,11,1,2,592,0.00337837837837838,52,0.211538461538462
2011,12,1,3,592,0.00506756756756757,52,0.230769230769231
2011,13,1,4,592,0.00675675675675676,52,0.25
2011,16,3,7,592,0.0118243243243243,52,0.307692307692308
2011,19,2,9,592,0.0152027027027027,52,0.365384615384615
2011,20,6,15,592,0.0253378378378378,52,0.384615384615385
2011,21,4,19,592,0.0320945945945946,52,0.403846153846154
2011,22,3,22,592,0.0371621621621622,52,0.423076923076923
2011,23,10,32,592,0.0540540540540541,52,0.442307692307692
2011,24,13,45,592,0.0760135135135135,52,0.461538461538462
2011,25,25,70,592,0.118243243243243,52,0.480769230769231
2011,26,25,95,592,0.160472972972973,52,0.5
2011,27,40,135,592,0.228040540540541,52,0.519230769230769
